Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2017,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks 1 lb.,Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2017?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
Westborough,Steven Baccari,4055,2700,3700,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,,Yes,,,,75,,,,,,,,,Yes,Yes,,,Yes,,No,,,,,,,Yes,,5202.96,Yes,0,Yes,,67.14,441,7.81,196,1.49,146.6,,,,,,,,,2.61,,Year Round,0,Year Round,0,Year Round,Year Round,1 or 2,1 or 2,1 or 2,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,,Yes,1,No,No,,,
Westfield,Joseph Rouse,16037,16037,16037,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,6,52,Neither,Neither,Neither,Neither,Yes,Yes,Yes,,,85,10,,,Yes,2,64,Yes,,No,,,,,,,,,,,,,,,,11996.13,Yes,,Yes,,,3241.45,0,0,0.39,0,42.88,242.75,1.3,0,0,0,0,27,62.3,1.69,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Year Round,Once a Week,Once a Week,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,"Residents are given one trash and one recycle barrel, however, second barrel can be rented at $20/qtr.",,
Westford,Kristina Greene,7932,7932,7932,Curbside,,,Curbside,Bi-weekly,Yes,,,None,4,2,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,3,32,,Yes,,Yes,Yes,,,,Yes,,,,,,,,,Yes,7564.83,Yes,0,Yes,,70,2735.08,,,,,,,15.5,,,,,3.24,84743,,0,0,1 or 2,1 or 2,Year Round,0,1 or 2,1 or 2,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,,,No,,,,"Yard waste (brush, not leaves) was accepted at a drop off facility on 2 collection dates during 2017.
The Fire Dept picks up Christmas trees one weekend after Christmas. Residents pay a fee. This is
coordinated completely by the Fire Dept. Bulky waste is ",,
Westhampton,Kathleen A. Casey,687,370,370,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,,Yes,,,Yes,60,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,Yes,,Yes,193.77,No,67.84,Yes,,72,105.04,,,,,,18.54,7.15,,,,,,2.7,,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,,Yes,1,Yes,Yes,,,
WESTMINSTER,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston,Thomas Cullen,3600,1749,1749,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Neither,Neither,Yes,Yes,,,,240,,,,,,,,,,,,,,,,,,,,,,Yes,,,1651,Yes,0,No,,67.16,,184,207,,,,31.9,77.6,,,,,550,25.8,,1 or 2,0,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,,,Yes,1,No,No,,,
Westport,Nancy Paquet,6879,1828,1828,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Both,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,,,,783,Yes,0,Yes,,71,,45.16,103.82,73.97,209.19,24.15,58.09,2.13,,4.98,,,20,8.2,58.23,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,0,,No,,,,"tin/aluminum 31.27 tons @ $155/ton; Metal 62.56 tons @ $155.00/ton; plastic containers 33.13 tons at an expense of $.10/lb ($.10 charge started Nov. 1); Glass 88.92 tons at an expense of $35/ton; Metal, glass and plastic are collected separately.  The onl",,
Westwood,Brendan Ryan,4611,4611,4611,Curbside,Yes,65,Curbside,Bi-weekly,Yes,Yes,95,None,11,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3735,No,0,Yes,2,66.87,1846,,,,,,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,1 or 2,,1 or 2,0,,Yes,1,No,No,,,
Weymouth,Fred Happel;,20168,17510,20168,Curbside,Yes,64,Both,Weekly,Yes,Yes,64,None,22,40,Both,Both,Neither,Neither,Yes,Yes,,,,100,,,,,,,,,,,,,,,,,,,,,,,,Yes,15241.5,Yes,0,No,52,108.09,7633.1,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,Year Round,Year Round,Between 3 & 10,0,0,Yes,2,Yes,Yes,,,
Whately,Jan Ameen,577,460,460,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Both,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,,,,,Yes,Yes,Yes,,Yes,,Yes,188.8,No,0,,,70,,,,71.09,40.69,2.76,,6.37,,,,14,,,,0,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,,Year Round,,,No,,,,,,
Whitman,bruce martin,4861,4643,4643,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,8,52,Both,Neither,Neither,Neither,,Yes,,,,250,,,,Yes,1,64,Yes,Yes,No,Yes,Yes,,,Yes,Yes,No,,,,,,,,,3505,No,0,Yes,,72.25,1326,,,,,,,,,,,,21.6,7.43,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,0,Year Round,,,Yes,1,No,Yes,,,
Wilbraham,Tonya Basch,5861,1680,1680,Drop-off,,,Drop-off,,,,,Drop-off,,52,Neither,Neither,Neither,Both,,,Yes,,Yes,,100,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,Yes,Yes,Yes,Yes,,,Yes,603.05,No,0,,,71,,,,304.56,149.83,,77.87,14.94,,,,,292.5,9.18,,0,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,Year Round,0,0,0,Year Round,0,0,Yes,1,Yes,No,,,
Williamsburg,Kathleen A. Casey,1137,770,770,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Neither,,Yes,,,,75,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,,Yes,Yes,437.93,No,127.36,Yes,,71,,,,126.78,78.72,,46.55,6.44,,2.18,,,,5.46,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,,No,,,,,,
Williamstown,Linda Cernik,2250,920,920,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Both,Neither,,,Yes,,Yes,,90,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,Yes,Yes,Yes,Yes,,,,322.25,No,84.24,Yes,,,,,,189.45,98.19,,21.75,,,,,,,6.17,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,0,No,,,,"HHW collection secured for member towns June 2 2018. Transfer station does have a clothing drop box on site. Donations go to IICD, Institute for Cooperation & Development. (unable to get the tonnage amount collected). Residents of Williamstown can dispose",,
Wilmington,Jamie Magaldi,7272,7272,7272,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,95,None,10,19,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,,No,Yes,Yes,,,Yes,,No,,,,,,,,,7218,Yes,0,Yes,52,66.19,2481,,,,,,61,,,,,,,23.1,,1 or 2,1 or 2,Year Round,Year Round,Year Round,0,0,0,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,0,Yes,1,No,No,,,
Winchendon,Wendy Stevens,3669,840,840,Drop-off,,,Drop-off,,Yes,,,None,,52,Recycling,Recycling,Both,Both,,Yes,,,Yes,50,,,Yes,,,,,,,,,,,,,,,,,,,,,,549.12,Yes,0,Yes,,120,167.83,0,0,0,101.42,,9.65,4.26,,,,,6,13.79,293.33,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Year Round,,0,No,,,,,,
Winchester,"Norman E. Doucette, Jr.",8038,4969,4969,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Both,Neither,,,Yes,Yes,Yes,,225,50,Yes,,,,,,,,,,,,,,,,,,,,Yes,,5160,Yes,0,Yes,,56.74,1680,,,,,,279,83,,3.11,,29,3885,46,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,0,Year Round,0,,Yes,2,No,Yes,,,
Windsor,Linda Cernik,395,328,328,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,75,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,,,,,Yes,,,135.62,No,35.73,Yes,,,,,,31.67,20.44,,12.15,,,,,,,,,0,Year Round,1 or 2,1 or 2,0,Year Round,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,No,,,,"HHW collection secured for member towns June 2 2018, All residents/Towns of NBSWMD have  access to paint collections yearly & 3 Special Bulky Waste Collections which includes Electronic collection. Goodwill of the Berkshires as well accepts computers for ",,
WINTHROP,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woburn,Meghan Doherty,13046,11067,11067,Curbside,,,Curbside,Bi-weekly,Yes,,,None,12,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12463.91,No,424,Yes,52,,2360.15,,,,,,,,,,,,261.12,,,Between 3 & 10,Between 3 & 10,0,0,0,Between 3 & 10,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,0,No,,,,,,
Worcester,Robert J. Fiore,67000,52000,67000,Curbside,,,Both,Weekly,Yes,,,None,12,35,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,Yes,Yes,Yes,40,,,,,,,Yes,21769.56,No,0,Yes,,67.14,10218.66,,,,,,129.15,,,2.92,,,4212,77.57,,Once a Week,Once a Week,Once a Week,Once a Week,0,Year Round,Once a Week,Once a Week,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Year Round,,Year Round,0,,Yes,1,No,No,"Curbside recycling is available to residents in household units of 6 or less.  Drop-off recycling is available to all household units, including small businesses.
Yard waste curbside is only during Fall Leaf Collection and from April through November/Dece",,
Worthington,Kathleen A. Casey,536,360,360,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,,Yes,35,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,,,Yes,190.12,No,83.49,Yes,,72,,,,56.13,41.51,,18.53,5.1,,,,,,1.5,,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,,No,,,,,,
Wrentham,Mike Lavin,4052,3996,3996,Curbside,Yes,35,Curbside,Bi-weekly,Yes,Yes,96,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,,,Yes,Yes,No,,,,,,,,Yes,2806.58,Yes,0,No,12,69,1473.62,,,,,1,,,,,,,64.8,,,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,0,Year Round,0,0,0,0,Year Round,Year Round,,Year Round,0,,Yes,1,No,No,,,
Yarmouth,Roby Whitehouse,15148,9417,15148,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Neither,Both,,,Yes,Yes,,,162,15,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,8383,No,0,Yes,,74.32,,316,357,,655,0,660,117,,91.8,,,94.77,120,13650,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,,,Yes,2,No,No,"Yarmouth Disposal allows latex paint to be dried out in kitty litter and disposed off in the MSW all year round, however oil based paint is only accepted at the hazardous waste collections.",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
